Manufacturer,Model,Description,Transmission,Manual or Automatic,Engine Capacity,Fuel Type,Powertrain,Engine Power (PS),Engine Power (Kw),Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Euro Standard,Diesel VED Supplement,Testing Scheme,WLTP Imperial Low,WLTP Imperial Medium,WLTP Imperial High,WLTP Imperial Extra High,WLTP Imperial Combined,WLTP Imperial Combined (Weighted),WLTP Metric Low,WLTP Metric Medium,WLTP Metric High,WLTP Metric Extra High,WLTP Metric Combined,WLTP Metric Combined (Weighted),WLTP CO2,WLTP CO2 Weighted,Equivalent All Electric Range Miles,Equivalent All Electric Range KM,Electric Range City Miles,Electric Range City Km,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],RDE NOx Urban,RDE NOx Combined,Noise Level dB(A),Date of change,
CITROEN,C5 Aircross,PureTech 130 S&S,M6,Manual,1199,Petrol,Internal Combustion Engine (ICE),131,96,,,,,Euro 6 EA,False,WLTP,35.9,41.7,46.1,37.3,40.3,0,7.9,6.8,6.1,7.6,7,0,158,0,,,,,378,22,40,,0.53,60,60,68.0,28 November 2025,
CITROEN,C5 Aircross,Hybrid (PureTech 136 petrol 6-speed Dual Clutch Transmission + 48V hybrid),A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),136,100,,,,,Euro 6 EA,False,WLTP,61.4,55.7,59.7,45.6,53.3,0,4.6,5.1,4.7,6.2,5.3,0,120,0,,,,,440,19,18,,0.29,60,60,65.0,28 November 2025,
CITROEN,C5 Aircross,Hybrid (PureTech 136 petrol 6-speed Dual Clutch Transmission + 48V hybrid),A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),136,100,,,,,Euro 6 EA,False,WLTP,52.6,47.7,51.4,39,45.6,0,5.4,5.9,5.5,7.2,6.2,0,139,0,,,,,440,19,18,,0.29,60,60,65.0,28 November 2025,
CITROEN,C5 Aircross,BlueHDi 130 S&S,A8,Automatic,1499,Diesel,Internal Combustion Engine (ICE),131,96,,,,,Euro 6 EA,False,WLTP,48.3,55.7,62.2,50,54.1,0,5.8,5.1,4.5,5.7,5.2,0,137,0,,,,,44,,51,55,0.21,80,80,67.0,28 November 2025,
CITROEN,C5 Aircross,BlueHDi 130 S&S,A8,Automatic,1499,Diesel,Internal Combustion Engine (ICE),131,96,,,,,Euro 6 EA,False,WLTP,40.8,47.8,52.1,41.4,45.4,0,6.9,5.9,5.4,6.8,6.2,0,163,0,,,,,44,,51,55,0.21,80,80,67.0,28 November 2025,
CITROEN,C5 Aircross,Plug-in Hybrid (180+80),A8,Automatic,1598,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),181,133,3.7,169,60,,Euro 6 EA,False,WLTP,33,46.7,47.3,37.9,41.2,220.9,8.6,6,6,7.4,6.9,1.3,155,29,37,60,,68,254,13,3,,0.22,60,60,67.0,28 November 2025,
CITROEN,C5 Aircross,Plug-in Hybrid (180+80),A8,Automatic,1598,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),181,133,3,205,51,,Euro 6 EA,False,WLTP,30.9,41.2,41.8,32.9,36.5,148.8,9.1,6.9,6.8,8.6,7.7,1.9,175,43,32,51,,64,254,13,3,,0.22,60,60,67.0,28 November 2025,
CITROEN,C5 Aircross,Electric 210 hp Comfort Range,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),210,157,3.8,162,543,337,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,425,684,0,,,,,,,65.0,28 November 2025,
CITROEN,C5 Aircross,Electric 210 hp Comfort Range,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),210,157,2.9,213,412,256,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,321,516,0,,,,,,,65.0,28 November 2025,
CITROEN,C5 Aircross,Electric 230 hp Long Range,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),230,170,3.7,169,708,440,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,558,898,0,,,,,,,65.0,28 November 2025,
CITROEN,C5 Aircross,Electric 230 hp Long Range,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),230,170,2.8,221,538,334,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,419,675,0,,,,,,,65.0,28 November 2025,
CITROEN,C5 Aircross,HYBRID 145 e-DSC6,A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),136,100,,,,,Euro 6 EB,False,WLTP,55.8,56.6,60.1,44.7,44.7,0,5.1,5,4.7,6.3,5.4,0,122,0,,,,,343,20,28,,,60,60,67.0,28 November 2025,
CITROEN,C5 Aircross,HYBRID 145 e-DSC6,A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),136,100,,,,,Euro 6 EB,False,WLTP,48.6,46.7,51,38.3,44.6,0,5.8,6,5.5,7.4,6.3,0,143,0,,,,,343,20,28,,,60,60,67.0,28 November 2025,
CITROEN,C5 Aircross,PLUG-IN HYBRID 195,A7,Automatic,1598,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),150,110,4.4,141,83,,Euro 6 EB,False,WLTP,53.3,47.9,54.3,42.2,47.9,122.8,5.3,5.9,5.2,6.7,5.9,2.3,134,52,32,52,,111,344,36,5,,,60,60,67.0,28 November 2025,
CITROEN,C5 Aircross,PLUG-IN HYBRID 195,A7,Automatic,1598,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),150,110,4,156,70,,Euro 6 EB,False,WLTP,43.5,39.2,44.8,34,39.2,83.1,6.5,7.2,6.3,8.3,7.2,3.4,164,78,48,78,,91,344,36,5,,,60,60,67.0,28 November 2025,
CITROEN,C5 X,PureTech 130 S&S,A8,Automatic,1199,Petrol,Internal Combustion Engine (ICE),131,96,,,,,Euro 6 EA,False,WLTP,39.2,46.7,54.5,45.9,47.3,0,7.2,6.1,5.2,6.1,6,0,135,0,,,,,392,21,40,,0.25,60,60,67.0,28 November 2025,
CITROEN,C5 X,PureTech 130 S&S,A8,Automatic,1199,Petrol,Internal Combustion Engine (ICE),131,96,,,,,Euro 6 EA,False,WLTP,35.2,40.8,46.4,38,40.4,0,8,6.9,6.1,7.4,7,0,158,0,,,,,392,21,40,,0.25,60,60,67.0,28 November 2025,
